q,r_true
1,-0.004387035985186732
2,0.0054256561889562335
3,0.0016034460224935397
4,0.004685975917424385
5,0.0010141325456239393
6,0.0022137224674124677
7,0.0011053871157763878
8,0.0013258992082233606
9,0.0002283191045995038
10,0.004480437020058955
