true_open,true_high,true_low,true_close,true_volume,true_amount,pred_open,pred_high,pred_low,pred_close,pred_volume,pred_amount,timestamp
392.39,401.19,391.39,400.59,205922.0,9098470400.0,392.3900146484375,401.19024658203125,391.3902282714844,400.58966064453125,205922.0,9098469376.0,2018-01-16
399.39,405.39,395.59,405.39,248796.0,11066596352.0,399.3899841308594,405.38983154296875,395.590087890625,405.39031982421875,248796.0,11066597376.0,2018-01-17
408.99,410.39,401.19,404.19,217960.0,9800451072.0,408.9891052246094,410.39080810546875,401.1890869140625,404.19073486328125,217960.0,9800451072.0,2018-01-18
408.59,409.39,404.39,408.79,147492.0,6648683008.0,408.5914306640625,409.39007568359375,404.3897399902344,408.7881774902344,147492.0,6648683008.0,2018-01-19
411.39,416.39,406.79,416.39,193649.0,8841470976.0,411.3900146484375,416.3896179199219,406.7911376953125,416.39013671875,193649.0,8841473024.0,2018-01-22
422.59,430.99,419.99,430.99,238720.0,11195016192.0,422.5897216796875,430.9892578125,419.9892883300781,430.9896240234375,238720.0,11195017216.0,2018-01-23
430.39,430.79,423.19,425.39,249290.0,11729419264.0,430.3900451660156,430.79022216796875,423.1900329589844,425.39056396484375,249290.0,11729418240.0,2018-01-24
422.59,424.59,414.39,414.39,277324.0,12821918720.0,422.58978271484375,424.590087890625,414.3895568847656,414.39013671875,277324.03125,12821917696.0,2018-01-25
420.59,427.59,420.39,427.59,220125.0,10310863872.0,420.5900573730469,427.5901184082031,420.3899230957031,427.5898132324219,220125.0,10310863872.0,2018-01-26
430.19,432.99,422.79,427.99,225046.0,10608507904.0,430.1888427734375,432.9897155761719,422.7900085449219,427.9898681640625,225046.0,10608507904.0,2018-01-29
419.59,425.99,417.59,418.19,222557.0,10333929472.0,419.5899658203125,425.9903869628906,417.5901794433594,418.189697265625,222557.0,10333928448.0,2018-01-30
411.99,424.79,411.59,419.99,276092.0,12754797568.0,411.9902648925781,424.7883605957031,411.5893859863281,419.99005126953125,276091.96875,12754797568.0,2018-01-31
422.39,423.19,416.39,416.39,171194.0,7917368832.0,422.39117431640625,423.1903991699219,416.3918762207031,416.3912353515625,171194.0,7917368832.0,2018-02-01
415.39,416.39,407.39,408.79,243288.0,11080881152.0,415.3896179199219,416.3900451660156,407.3898010253906,408.7897033691406,243287.984375,11080881152.0,2018-02-02
390.19,402.19,389.19,397.39,403920.0,17778460672.0,390.19146728515625,402.1907043457031,389.1904602050781,397.3902587890625,403920.0,17778458624.0,2018-02-05
379.39,381.79,363.59,366.39,868497.0,36273332224.0,379.3900146484375,381.7890625,363.590087890625,366.3910827636719,868497.0625,36273332224.0,2018-02-06
386.39,389.19,369.59,371.19,610517.0,25868890112.0,386.389892578125,389.1898498535156,369.5896911621094,371.1903381347656,610517.0,25868890112.0,2018-02-07
375.19,380.39,370.39,376.59,354379.0,14875059200.0,375.1895446777344,380.39019775390625,370.38958740234375,376.5894470214844,354378.96875,14875059200.0,2018-02-08
359.39,367.39,354.39,363.79,691568.0,27953815552.0,359.39013671875,367.39019775390625,354.39007568359375,363.791015625,691568.0,27953815552.0,2018-02-09
369.19,376.19,365.99,365.99,338540.0,14074697728.0,369.1902160644531,376.18951416015625,365.9893798828125,365.9898681640625,338540.0,14074697728.0,2018-02-12
375.59,381.99,374.39,378.79,237051.0,9999016960.0,375.58978271484375,381.98956298828125,374.3897705078125,378.7897644042969,237051.0,9999016960.0,2018-02-13
384.99,391.39,382.79,389.99,222853.0,9597172736.0,384.98980712890625,391.3900451660156,382.7896728515625,389.98980712890625,222853.0,9597172736.0,2018-02-14
400.79,403.39,398.19,403.39,163548.0,7268701184.0,400.7897033691406,403.3896789550781,398.1898193359375,403.39031982421875,163548.0,7268701696.0,2018-02-15
406.39,409.39,401.19,402.19,204820.0,9191829504.0,406.3902893066406,409.3896484375,401.18939208984375,402.18975830078125,204819.984375,9191829504.0,2018-02-20
404.99,414.39,403.59,414.39,204046.0,9252272128.0,404.9898986816406,414.3900146484375,403.5897521972656,414.389404296875,204046.015625,9252272128.0,2018-02-21
411.39,411.59,402.79,402.79,223850.0,10103931904.0,411.38970947265625,411.58966064453125,402.7901916503906,402.79010009765625,223850.0,10103931904.0,2018-02-22
410.39,410.99,405.79,409.79,149921.0,6785912320.0,410.3902282714844,410.99072265625,405.7898864746094,409.7900695800781,149921.0,6785912832.0,2018-02-23
412.39,413.39,404.79,409.39,212521.0,9607596032.0,412.39007568359375,413.38995361328125,404.79046630859375,409.3898620605469,212521.0,9607596032.0,2018-02-26
414.39,414.39,398.59,402.39,220089.0,9892032512.0,414.3900146484375,414.3901672363281,398.5899353027344,402.3910217285156,220089.0,9892032512.0,2018-02-27
395.39,396.39,387.39,388.59,325601.0,14167755776.0,395.38958740234375,396.389892578125,387.3906555175781,388.5899353027344,325601.03125,14167755776.0,2018-02-28
386.39,403.79,384.39,403.39,271135.0,11933605888.0,386.3909606933594,403.78961181640625,384.389892578125,403.389892578125,271135.0,11933605888.0,2018-03-01
393.39,396.99,392.39,392.39,258915.0,11341295616.0,393.3912658691406,396.99102783203125,392.39031982421875,392.389892578125,258915.0,11341295616.0,2018-03-02
392.39,395.99,381.39,381.39,240387.0,10358474752.0,392.3902587890625,395.9891052246094,381.3897399902344,381.3898010253906,240387.0,10358474752.0,2018-03-05
391.39,400.39,386.39,394.99,248125.0,10862231552.0,391.3890075683594,400.3896179199219,386.38897705078125,394.98956298828125,248124.984375,10862230528.0,2018-03-06
391.59,397.59,386.39,390.59,192566.0,8378697728.0,391.5902099609375,397.5900573730469,386.39019775390625,390.5913391113281,192566.0,8378697728.0,2018-03-07
