q_exit,q_half,total_return
0.02,0.4,0.4047059999999998
0.03,0.04,0.37734999999999963
0.03,0.05,0.33457999999999943
0.03,0.06,0.38508599999999915
0.03,0.07,0.4098139999999997
0.03,0.08,0.3899379999999999
0.03,0.09,0.5293260000000004
0.03,0.1,0.48710999999999993
0.03,0.11,0.5156159999999994
0.03,0.12,0.5128080000000002
0.03,0.13,0.4985089999999994
0.03,0.14,0.46053100000000025
0.03,0.15,0.4733860000000003
0.03,0.16,0.46621800000000047
0.03,0.17,0.4607559999999997
0.03,0.18,0.4607559999999997
0.03,0.19,0.38091499999999945
0.03,0.2,0.38091499999999945
0.03,0.21,0.35785499999999937
0.03,0.22,0.40474900000000025
0.03,0.23,0.4405889999999997
0.03,0.24,0.31510299999999924
0.03,0.25,0.36281199999999947
0.03,0.26,0.2816769999999993
0.03,0.27,0.2865549999999992
0.03,0.28,0.3385399999999996
0.03,0.29,0.33130099999999985
0.03,0.3,0.3402930000000004
0.03,0.31,0.3402930000000004
0.03,0.32,0.31893199999999955
0.03,0.33,0.3708720000000001
0.03,0.34,0.43047100000000027
0.03,0.35000000000000003,0.4304229999999998
0.03,0.36,0.4301389999999996
0.03,0.37,0.4217470000000001
0.03,0.38,0.4637640000000003
0.03,0.39,0.43122499999999997
0.03,0.4,0.4163379999999999
0.04,0.05,0.30243599999999926
0.04,0.06,0.37622399999999945
0.04,0.07,0.37558599999999975
0.04,0.08,0.38021799999999994
0.04,0.09,0.4889620000000001
0.04,0.1,0.4416429999999998
0.04,0.11,0.4786099999999993
0.04,0.12,0.49322800000000044
0.04,0.13,0.4449949999999998
0.04,0.14,0.42464400000000024
0.04,0.15,0.43735300000000055
0.04,0.16,0.41379900000000025
0.04,0.17,0.39144900000000016
0.04,0.18,0.39144900000000016
0.04,0.19,0.3475779999999995
0.04,0.2,0.3475779999999995
0.04,0.21,0.3427209999999994
0.04,0.22,0.37278999999999995
0.04,0.23,0.39463599999999976
0.04,0.24,0.2699159999999998
0.04,0.25,0.3293229999999996
0.04,0.26,0.2597979999999993
0.04,0.27,0.25586599999999926
0.04,0.28,0.29286599999999985
0.04,0.29,0.2906769999999992
0.04,0.3,0.3235209999999997
0.04,0.31,0.3235209999999997
0.04,0.32,0.28622599999999987
0.04,0.33,0.34596600000000044
0.04,0.34,0.37735899999999956
0.04,0.35000000000000003,0.37731099999999973
0.04,0.36,0.39717
0.04,0.37,0.38018600000000036
0.04,0.38,0.43022400000000016
0.04,0.39,0.3979280000000005
0.04,0.4,0.37908799999999987
0.05,0.06,0.31684399999999946
0.05,0.07,0.3613199999999994
0.05,0.08,0.3493459999999997
0.05,0.09,0.4733480000000001
0.05,0.1,0.4607349999999999
0.05,0.11,0.4797229999999999
0.05,0.12,0.4509590000000008
0.05,0.13,0.4284659999999991
0.05,0.14,0.4003669999999995
0.05,0.15,0.40415800000000046
0.05,0.16,0.4425659999999998
0.05,0.17,0.38539999999999996
0.05,0.18,0.38539999999999996
0.05,0.19,0.3172979999999992
0.05,0.2,0.3172979999999992
0.05,0.21,0.3126139999999997
0.05,0.22,0.3578729999999999
0.05,0.23,0.3807439999999993
0.05,0.24,0.25490299999999944
0.05,0.25,0.2980509999999994
0.05,0.26,0.2535659999999995
0.05,0.27,0.2340229999999992
0.05,0.28,0.2906249999999997
0.05,0.29,0.2842279999999997
