true_open,true_high,true_low,true_close,true_volume,true_amount,pred_open,pred_high,pred_low,pred_close,pred_volume,pred_amount,timestamp
408.99,410.39,401.19,404.19,217960.0,9800451072.0,408.9892578125,410.39013671875,401.18939208984375,404.1902160644531,217960.0,9800451072.0,2018-01-18
408.59,409.39,404.39,408.79,147492.0,6648683008.0,408.590087890625,409.3902587890625,404.39019775390625,408.7898864746094,147492.0,6648683008.0,2018-01-19
411.39,416.39,406.79,416.39,193649.0,8841470976.0,411.3900451660156,416.3909912109375,406.7901611328125,416.3897705078125,193648.984375,8841472000.0,2018-01-22
422.59,430.99,419.99,430.99,238720.0,11195016192.0,422.5885314941406,430.989501953125,419.9881591796875,430.989501953125,238720.0,11195017216.0,2018-01-23
430.39,430.79,423.19,425.39,249290.0,11729419264.0,430.39013671875,430.7900695800781,423.1891174316406,425.38983154296875,249290.0,11729418240.0,2018-01-24
422.59,424.59,414.39,414.39,277324.0,12821918720.0,422.58953857421875,424.5901794433594,414.3896179199219,414.389404296875,277324.03125,12821918720.0,2018-01-25
420.59,427.59,420.39,427.59,220125.0,10310863872.0,420.58990478515625,427.5910949707031,420.3902282714844,427.5908508300781,220125.0,10310863872.0,2018-01-26
430.19,432.99,422.79,427.99,225046.0,10608507904.0,430.19049072265625,432.9896240234375,422.78997802734375,427.9895324707031,225046.0,10608507904.0,2018-01-29
419.59,425.99,417.59,418.19,222557.0,10333929472.0,419.5884704589844,425.9896545410156,417.58953857421875,418.19024658203125,222557.0,10333928448.0,2018-01-30
411.99,424.79,411.59,419.99,276092.0,12754797568.0,411.9899597167969,424.7910461425781,411.59130859375,419.9909973144531,276092.03125,12754797568.0,2018-01-31
422.39,423.19,416.39,416.39,171194.0,7917368832.0,422.3890380859375,423.1899108886719,416.3902282714844,416.38958740234375,171193.984375,7917369344.0,2018-02-01
415.39,416.39,407.39,408.79,243288.0,11080881152.0,415.3907470703125,416.39202880859375,407.38922119140625,408.7896423339844,243287.984375,11080880128.0,2018-02-02
390.19,402.19,389.19,397.39,403920.0,17778460672.0,390.1918640136719,402.1902770996094,389.19024658203125,397.3905334472656,403920.0,17778460672.0,2018-02-05
379.39,381.79,363.59,366.39,868497.0,36273332224.0,379.3905029296875,381.79022216796875,363.5897521972656,366.39013671875,868497.0625,36273332224.0,2018-02-06
386.39,389.19,369.59,371.19,610517.0,25868890112.0,386.3898620605469,389.1905517578125,369.5907897949219,371.1901550292969,610517.0,25868888064.0,2018-02-07
375.19,380.39,370.39,376.59,354379.0,14875059200.0,375.1902770996094,380.3896484375,370.38983154296875,376.58905029296875,354379.0,14875058176.0,2018-02-08
359.39,367.39,354.39,363.79,691568.0,27953815552.0,359.3907165527344,367.3905029296875,354.3904113769531,363.7904968261719,691568.0625,27953817600.0,2018-02-09
369.19,376.19,365.99,365.99,338540.0,14074697728.0,369.1897277832031,376.19012451171875,365.990234375,365.9906005859375,338539.96875,14074696704.0,2018-02-12
375.59,381.99,374.39,378.79,237051.0,9999016960.0,375.5894775390625,381.98992919921875,374.3898010253906,378.7898254394531,237051.0,9999016960.0,2018-02-13
384.99,391.39,382.79,389.99,222853.0,9597172736.0,384.99005126953125,391.39013671875,382.7898864746094,389.9892578125,222853.0,9597172736.0,2018-02-14
400.79,403.39,398.19,403.39,163548.0,7268701184.0,400.79010009765625,403.3895568847656,398.1904602050781,403.38995361328125,163548.015625,7268701184.0,2018-02-15
406.39,409.39,401.19,402.19,204820.0,9191829504.0,406.39007568359375,409.38995361328125,401.18975830078125,402.18988037109375,204820.0,9191829504.0,2018-02-20
404.99,414.39,403.59,414.39,204046.0,9252272128.0,404.99005126953125,414.3896179199219,403.5898132324219,414.38983154296875,204046.0,9252272128.0,2018-02-21
411.39,411.59,402.79,402.79,223850.0,10103931904.0,411.3900146484375,411.5891418457031,402.7895812988281,402.7894287109375,223850.0,10103931904.0,2018-02-22
410.39,410.99,405.79,409.79,149921.0,6785912320.0,410.39031982421875,410.9894104003906,405.7897033691406,409.7900695800781,149920.984375,6785912320.0,2018-02-23
412.39,413.39,404.79,409.39,212521.0,9607596032.0,412.3899230957031,413.38958740234375,404.789794921875,409.3898620605469,212520.984375,9607595008.0,2018-02-26
414.39,414.39,398.59,402.39,220089.0,9892032512.0,414.38995361328125,414.38983154296875,398.5899353027344,402.3899841308594,220089.0,9892032512.0,2018-02-27
395.39,396.39,387.39,388.59,325601.0,14167755776.0,395.3895568847656,396.3900451660156,387.3899230957031,388.59033203125,325601.0,14167755776.0,2018-02-28
386.39,403.79,384.39,403.39,271135.0,11933605888.0,386.38897705078125,403.7905578613281,384.39044189453125,403.39044189453125,271135.0,11933605888.0,2018-03-01
393.39,396.99,392.39,392.39,258915.0,11341295616.0,393.3902282714844,396.9899597167969,392.3902893066406,392.39019775390625,258914.984375,11341295616.0,2018-03-02
392.39,395.99,381.39,381.39,240387.0,10358474752.0,392.3900451660156,395.98980712890625,381.3919677734375,381.38995361328125,240387.046875,10358474752.0,2018-03-05
391.39,400.39,386.39,394.99,248125.0,10862231552.0,391.39080810546875,400.3909912109375,386.3900451660156,394.99072265625,248125.015625,10862231552.0,2018-03-06
391.59,397.59,386.39,390.59,192566.0,8378697728.0,391.58984375,397.5893859863281,386.3885498046875,390.5896911621094,192566.0,8378698240.0,2018-03-07
396.39,400.39,394.39,399.39,175064.0,7737290752.0,396.39007568359375,400.390380859375,394.3902893066406,399.3896484375,175064.0,7737289728.0,2018-03-08
401.39,404.59,401.39,403.39,130251.0,5813403648.0,401.39007568359375,404.5892333984375,401.389404296875,403.389892578125,130251.0,5813404160.0,2018-03-09
411.79,416.39,411.19,416.39,255130.0,11660311552.0,411.7884826660156,416.3894958496094,411.1899108886719,416.3900146484375,255130.0,11660312576.0,2018-03-12
