true_open,true_high,true_low,true_close,true_volume,true_amount,pred_open,pred_high,pred_low,pred_close,pred_volume,pred_amount,timestamp
422.39,423.19,416.39,416.39,171194.0,7917368832.0,430.4252181237323,435.79299559412505,424.1139310292704,429.67563942043336,230361.05702736203,10545973729.66987,2018-02-01
415.39,416.39,407.39,408.79,243288.0,11080881152.0,427.67800762767666,433.3137906030896,421.01179936409847,427.0001169382099,253981.81591534478,11623693238.052355,2018-02-02
390.19,402.19,389.19,397.39,403920.0,17778460672.0,421.9466005269028,429.69772375667,415.6207099273385,422.97236509847136,372132.2035316066,16541990133.089087,2018-02-05
379.39,381.79,363.59,366.39,868497.0,36273332224.0,413.37469832101465,419.2731557712033,402.5802472028705,408.0895851235989,525141.5817267644,22777099573.80392,2018-02-06
386.39,389.19,369.59,371.19,610517.0,25868890112.0,426.1292718180372,432.4745656408872,415.94901624575556,422.179032159086,400893.26791867684,17825084804.359806,2018-02-07
375.19,380.39,370.39,376.59,354379.0,14875059200.0,432.7158675497326,439.837332566299,425.63513155304554,432.56122957000446,292651.03464220994,13407786501.396719,2018-02-08
359.39,367.39,354.39,363.79,691568.0,27953815552.0,427.54178242131684,437.1184740587396,418.13453134218037,428.1447286404459,494300.8387851028,22035164371.24335,2018-02-09
369.19,376.19,365.99,365.99,338540.0,14074697728.0,432.8941259815471,440.6923330314277,424.81928201341674,431.33516887340437,315152.2977240796,14360587091.790136,2018-02-12
375.59,381.99,374.39,378.79,237051.0,9999016960.0,441.92647693523094,448.8631660975764,435.43155658752994,441.9003744374958,239435.23945892658,11239990099.563803,2018-02-13
384.99,391.39,382.79,389.99,222853.0,9597172736.0,430.3670280598948,437.7987008308383,423.2062465779447,430.6048274303401,267942.65597907646,12174449599.6851,2018-02-14
400.79,403.39,398.19,403.39,163548.0,7268701184.0,439.17704818867963,445.5439715956893,432.5167644329298,438.58470718730894,243209.6222576558,11389307295.992373,2018-02-15
406.39,409.39,401.19,402.19,204820.0,9191829504.0,439.6932088256953,445.7171547644508,432.9744918232045,438.80543138148744,232268.85110001353,10752011374.69923,2018-02-20
404.99,414.39,403.59,414.39,204046.0,9252272128.0,439.34922355863876,445.16157734468663,432.6841819939429,438.79744655783736,221958.5999520153,10318232872.507465,2018-02-21
411.39,411.59,402.79,402.79,223850.0,10103931904.0,433.4219615377059,438.42359882154557,426.2567570622472,431.4392859527225,227192.5574869196,10494276490.539125,2018-02-22
410.39,410.99,405.79,409.79,149921.0,6785912320.0,432.1127654726901,436.93252438652144,425.60485372612004,431.050671191922,209530.12622447178,9625919371.36309,2018-02-23
412.39,413.39,404.79,409.39,212521.0,9607596032.0,425.9430933325877,430.55200302323664,418.99171375250495,424.4511924405412,225813.8065284926,10287876805.751219,2018-02-26
414.39,414.39,398.59,402.39,220089.0,9892032512.0,428.72701167579487,433.5019271626693,421.3116386703674,426.9057640838922,225890.74376547983,10361866964.976171,2018-02-27
395.39,396.39,387.39,388.59,325601.0,14167755776.0,426.3622869205224,431.6435054629198,419.1762749396886,424.96814629315713,282977.4972408416,12787986652.202084,2018-02-28
386.39,403.79,384.39,403.39,271135.0,11933605888.0,413.0910357025787,419.628972310428,406.9756212881941,413.7705080364151,251716.3959745437,11173070473.242188,2018-03-01
393.39,396.99,392.39,392.39,258915.0,11341295616.0,409.5157324488607,414.60305799088724,403.5827684375088,408.5747989986224,257296.77854637685,11290052583.526915,2018-03-02
392.39,395.99,381.39,381.39,240387.0,10358474752.0,405.77417027110306,411.0574916806512,398.9659261900122,404.1008177842556,266237.2653534781,11560104363.06083,2018-03-05
391.39,400.39,386.39,394.99,248125.0,10862231552.0,408.85471434889394,414.86641798624413,402.2474048335921,408.3744422524094,289373.420697717,12656986646.630758,2018-03-06
391.59,397.59,386.39,390.59,192566.0,8378697728.0,414.06070045545465,419.58690317305087,408.09607043251685,413.65462065280695,237976.97611784583,10565565050.788567,2018-03-07
396.39,400.39,394.39,399.39,175064.0,7737290752.0,412.76387183411555,417.6530711944417,407.0792646036334,412.3521011085796,215672.42665672544,9677294375.262821,2018-03-08
401.39,404.59,401.39,403.39,130251.0,5813403648.0,411.49549207268615,416.0790891823688,406.3515827759892,411.23974152108656,198415.61578897774,8825784559.828596,2018-03-09
411.79,416.39,411.19,416.39,255130.0,11660311552.0,414.7726419974764,420.38832196735837,408.9157883074246,414.7790492464999,274487.14991734666,12326318922.409077,2018-03-12
416.39,419.19,412.19,419.19,185016.0,8515214336.0,420.71875425758,425.7986326112814,414.61106921976864,420.2396429762815,228245.52323715968,10349973947.894665,2018-03-13
413.79,420.19,409.99,419.99,226118.0,10323251200.0,420.49987637963477,425.8978903630083,414.27440472290846,420.1518494872237,235130.40070878566,10593564764.200829,2018-03-14
415.59,426.39,414.39,424.99,247026.0,11506629632.0,424.26424187418803,430.0671662494007,418.1711176524525,424.2084128541019,230867.08962527587,10504497758.27537,2018-03-15
423.39,429.19,421.59,421.59,238990.0,11179190272.0,428.4053037972317,433.8708093036251,421.9946739043679,427.4361180621733,229670.76455577355,10540605797.727205,2018-03-16
421.39,426.79,418.19,418.19,162870.0,7584356864.0,434.14450389076984,439.53686450341104,427.85884166032787,433.51158035024724,210129.3726320129,9738193509.42662,2018-03-19
412.79,424.79,412.39,422.99,219533.0,10158755840.0,428.5794238276949,434.2765137203597,422.4541625792965,428.426197279975,219761.79449592342,10086606636.71209,2018-03-20
428.59,431.99,416.99,418.99,282440.0,13278687232.0,431.3809850904325,437.4241197468731,424.65964017726253,430.5502901609642,254815.28522580766,11688668939.02513,2018-03-21
407.99,415.39,394.99,395.79,718483.0,32204687360.0,418.0420650834252,425.2363682322935,408.0600404491572,413.1047271521067,491564.5925168895,21459158800.180676,2018-03-22
361.39,381.19,361.39,376.39,3084368.0,126000000000.0,404.5495501792331,415.83705198544385,398.5369306320809,408.39558470025,1228572.7799652321,51227178542.02251,2018-03-23
375.79,387.39,368.79,382.99,472997.0,19913242624.0,419.40408318660394,426.7550322720944,411.7724825696353,419.5740157975988,351119.30743072915,15653714153.81345,2018-03-26
391.59,394.99,386.59,388.59,426442.0,18516920320.0,423.05976377510143,430.70851177567016,414.403334362243,422.07785968475866,417499.9051785051,18739042779.490303,2018-03-27
376.39,383.79,367.79,368.59,489647.0,20468643840.0,422.64915872199475,431.4746200282225,413.58140592952293,421.17619588664024,448391.70691106643,19940281702.680443,2018-03-28
370.39,373.39,361.59,365.99,411154.0,16899466240.0,421.25410393668534,428.8181778674302,412.02454448480705,419.89799763721186,378236.93134626024,16880084514.891148,2018-03-29
360.99,368.79,356.99,365.79,328866.0,13371121664.0,425.1894563028832,432.97637484686453,416.7968925842949,425.0459244582309,332437.4010267017,14916415447.193264,2018-04-03
364.59,368.39,353.99,353.99,358617.0,14454637568.0,419.84015087851077,427.19595275270717,411.085965210706,417.668813245889,338652.9778728401,15255815039.059107,2018-04-04
361.19,365.99,356.79,362.19,265863.0,10780751872.0,431.31340639990015,438.60919716703137,424.70777143389034,431.4398789573063,257499.26102914911,11804678702.283545,2018-04-06
364.39,370.99,360.59,366.39,212208.0,8701468672.0,437.15247409857886,443.8241496030875,430.6396315296465,437.0596290843027,233648.71000222437,10844918823.398943,2018-04-09
369.39,374.99,365.79,373.59,255840.0,10638298112.0,431.66786502310674,438.3281369698504,424.8112771797433,431.3014906838201,259000.95043193948,11660908301.121254,2018-04-10
377.39,381.99,373.59,375.99,239114.0,10066634752.0,430.0053792274439,436.5229774760319,423.10852105243254,429.0028339790732,255140.39922380802,11346529160.34792,2018-04-11
378.79,379.99,365.19,369.59,206043.0,8539267584.0,432.6812440911162,438.306890283073,425.2003891707121,430.9772919410265,243946.19011535187,11137401335.943628,2018-04-12
372.99,373.19,363.59,364.39,195672.0,8022094336.0,429.6835391223219,434.8573963411245,422.18982256195534,427.92181236941053,237446.20341858966,10810087876.958633,2018-04-13
363.19,364.19,355.59,359.39,249012.0,10008328192.0,422.49332946206573,427.1704620903231,415.0069786054352,420.48569834353634,237677.86935723314,10725270065.104372,2018-04-16
359.59,362.99,351.39,353.59,284143.0,11374215168.0,416.9127136043702,422.3268014073755,409.6919802905221,415.23927751541623,276339.446510608,12231299915.838951,2018-04-17
