true_open,true_high,true_low,true_close,true_volume,true_amount,pred_open,pred_high,pred_low,pred_close,pred_volume,pred_amount,timestamp
392.39,401.19,391.39,400.59,205922.0,9098470400.0,403.72709901737386,408.8998988071182,397.9425416029483,403.5805609478439,227225.96643525994,9918626989.973856,2018-01-16
399.39,405.39,395.59,405.39,248796.0,11066596352.0,411.3420693673448,416.66120556334363,405.3113998982708,411.2910486705896,231830.98475793336,10296173775.920446,2018-01-17
408.99,410.39,401.19,404.19,217960.0,9800451072.0,410.2986201084408,415.4848088999095,404.30983279590924,409.8338416730884,225124.19004828882,9945017529.774788,2018-01-18
408.59,409.39,404.39,408.79,147492.0,6648683008.0,401.7400100041805,406.4683830021798,396.207701404511,401.4663296683781,208609.51578505457,9075823859.02066,2018-01-19
411.39,416.39,406.79,416.39,193649.0,8841470976.0,413.3593921026952,417.67257677125286,407.62625278181645,412.8226847096641,194287.80622448394,8640104486.026775,2018-01-22
422.59,430.99,419.99,430.99,238720.0,11195016192.0,419.1432047910632,424.59936380154215,412.992005411394,418.95406474409486,225151.78615246995,10165914802.739805,2018-01-23
430.39,430.79,423.19,425.39,249290.0,11729419264.0,412.9984778634048,418.28703596781355,406.713917297108,412.5021103257779,235821.97226239325,10491094863.88912,2018-01-24
422.59,424.59,414.39,414.39,277324.0,12821918720.0,416.88801071659935,422.7967122257924,410.48894442005627,416.40031079991695,246131.55080811848,10994388980.07065,2018-01-25
420.59,427.59,420.39,427.59,220125.0,10310863872.0,416.8053080844079,422.657703598535,410.84216567347494,416.79252282840514,237396.58321147264,10629356077.722092,2018-01-26
430.19,432.99,422.79,427.99,225046.0,10608507904.0,419.7156952812929,425.35384709959203,413.4931628894037,419.3369485901111,233562.6849447001,10554058090.681423,2018-01-29
419.59,425.99,417.59,418.19,222557.0,10333929472.0,425.9177850801758,432.044096831025,419.4036781047132,425.6478374269225,245460.29590134078,11211971958.406178,2018-01-30
